cluster,xGeo,yGeo,conf
0,757464.8140752977,6267297.636153071,0.2964624464511871
1,757472.8374660676,6267295.391409049,0.3381651937961578
2,757450.1306740111,6267277.996913127,0.3045233786106109
3,757518.8059792584,6267273.416604965,0.3331102132797241
4,757512.1499685728,6267269.918021743,0.731766939163208
5,757513.632351636,6267273.068798703,0.2641471624374389
6,757540.1156208642,6267265.808853303,0.5239076614379883
7,757440.2412878497,6267264.040463656,0.6868272423744202
8,757512.6713434736,6267267.691196659,0.4353057444095611
9,757530.6065825289,6267267.109868347,0.4237313866615295
10,757537.8791841145,6267264.673837421,0.6826275587081909
11,757473.1063703364,6267261.074022918,0.4276959598064422
12,757484.1715422557,6267260.842331296,0.4551761150360107
13,757421.9071126066,6267253.277439131,0.5989545583724976
14,757418.222218371,6267251.8730649045,0.3984054327011108
15,757486.2100082062,6267248.328818978,0.4471727609634399
16,757561.3925094738,6267249.242229226,0.7419923543930054
17,757533.3614347046,6267249.515519335,0.3178880512714386
18,757551.5603823131,6267242.536884814,0.4961635768413543
19,757465.1855005266,6267233.915067429,0.3760610818862915
20,757548.141392496,6267233.3578537665,0.7567707300186157
21,757596.2089458397,6267230.005377277,0.2901066839694977
22,757553.5322914934,6267227.027697905,0.3103265762329101
23,757395.5468361741,6267214.9988672575,0.2839975655078888
24,757515.2951656803,6267210.905513331,0.7692596912384033
25,757562.4711305564,6267212.943977534,0.3021139502525329
26,757578.338815035,6267208.77306343,0.3769280016422272
27,757614.8339342242,6267208.277268081,0.3028445243835449
28,757562.820082122,6267204.428071845,0.695590615272522
29,757567.6514476334,6267207.810005531,0.3441185653209686
30,757489.6672074229,6267205.519219819,0.3747142851352691
31,757566.2652418411,6267204.990431131,0.3049289882183075
32,757536.2249270743,6267202.648250728,0.2901543080806732
33,757548.8834078154,6267200.517096544,0.3701568841934204
34,757424.6850434863,6267195.259147624,0.7043734192848206
35,757575.1009379496,6267195.270484532,0.7520321607589722
36,757405.8907434167,6267190.881057351,0.2951177954673767
37,757542.6895082658,6267190.91921535,0.3171795904636383
38,757432.3325440949,6267190.561293333,0.2783296704292297
39,757430.8944663313,6267188.934393182,0.4942561388015747
40,757527.6599688788,6267188.674657087,0.7166423201560974
41,757540.2618083816,6267190.053263672,0.7758251428604126
42,757533.071888865,6267184.306281608,0.2733034491539001
43,757390.3210798567,6267180.834261744,0.5230191349983215
44,757491.4953628099,6267180.822629898,0.2923178672790527
45,757614.8246606285,6267182.313665036,0.3490555584430694
46,757459.7695136731,6267175.802562504,0.3138006627559662
47,757512.1049972044,6267175.883999289,0.5434765219688416
48,757590.4201982087,6267180.328631966,0.3204338550567627
49,757590.540847966,6267176.143448157,0.4832299947738647
50,757595.9491550936,6267176.898091056,0.406833291053772
51,757450.9391281911,6267173.412556631,0.7045473456382751
52,757540.8791349558,6267177.904120076,0.3456098139286041
53,757546.6362927733,6267174.870107314,0.5091124176979065
54,757590.8063328161,6267172.221710865,0.7745600938796997
55,757594.1496594859,6267175.011699321,0.7744114995002747
56,757542.8896812266,6267171.029917269,0.2913964986801147
57,757409.5485377746,6267173.021343748,0.277849793434143
58,757426.8149602329,6267168.508132069,0.2800342738628387
59,757551.0973020187,6267170.239253907,0.3289836049079895
60,757554.4195924615,6267173.003005038,0.3404866755008697
61,757564.247378475,6267168.449050454,0.3396525382995605
62,757588.5267458027,6267168.306586414,0.3773790895938873
63,757455.8794118955,6267167.901410571,0.6091756820678711
64,757458.5999930017,6267167.490813878,0.8035064339637756
65,757663.746290273,6267167.281836241,0.3524048328399658
66,757414.2284152001,6267164.069625054,0.4520329535007477
67,757464.0411297154,6267161.860132208,0.7783273458480835
68,757503.0190920001,6267165.341064452,0.511324405670166
69,757511.4073612936,6267160.785420331,0.3725466728210449
70,757505.1066619819,6267158.4776565125,0.2646406292915344
71,757548.4656411512,6267158.431238799,0.4083239734172821
72,757582.9545131987,6267162.080724432,0.4969835877418518
73,757613.0219600266,6267161.578506648,0.2564105689525604
74,757514.7886676257,6267159.074919789,0.6159441471099854
75,757536.0374729065,6267156.044905006,0.5078240036964417
76,757556.9311518883,6267157.92372721,0.2936958074569702
77,757480.7345584696,6267154.0845109215,0.4232666492462158
78,757541.0195473612,6267152.909290732,0.6012083292007446
79,757606.0751893937,6267150.825904156,0.4809043109416961
80,757492.2833862827,6267150.270763136,0.7699956297874451
81,757524.3529339796,6267148.486466675,0.2616528570652008
82,757339.9942836827,6267150.563070753,0.2800729274749756
83,757500.6722444957,6267150.34176965,0.3266382813453674
84,757668.8685687175,6267146.960393458,0.394881397485733
85,757457.0000286316,6267147.286243855,0.2659873366355896
86,757667.4912233123,6267143.547806595,0.4869246780872345
87,757337.8454613021,6267142.479819317,0.7297760248184204
88,757380.2073303526,6267145.1209052345,0.3247450292110443
89,757380.6330606526,6267140.553139577,0.5940141081809998
90,757393.0374828962,6267142.537921011,0.4869912266731262
91,757495.5654389347,6267141.147942484,0.8357146978378296
92,757587.5514528817,6267141.229907542,0.3315509557723999
93,757320.1114188796,6267138.3121818,0.6773712635040283
94,757363.0462665027,6267139.95191124,0.4238871932029724
95,757535.8818413885,6267138.480335145,0.3482956886291504
96,757664.673203147,6267143.029954263,0.2886019945144653
97,757670.5403823359,6267140.098301549,0.5832036733627319
98,757430.4926666578,6267137.317344998,0.7312224507331848
99,757469.5817180536,6267137.680096184,0.8405674695968628
100,757581.9100943957,6267137.464398869,0.7936649918556213
101,757401.9038820928,6267137.223090797,0.3049723505973816
102,757533.607977684,6267135.053352098,0.326782077550888
103,757603.4710677443,6267133.509816795,0.3414956331253052
104,757625.587232775,6267133.477467865,0.3972369432449341
105,757316.7359653777,6267131.355408399,0.2572650909423828
106,757330.5070238101,6267131.945732011,0.6309517621994019
107,757402.5751460422,6267130.6944217775,0.3925618231296539
108,757430.6230706638,6267134.898893728,0.272280603647232
109,757456.0833630628,6267135.247515968,0.404571533203125
110,757459.235278161,6267130.874941911,0.476511150598526
111,757468.3920071376,6267131.093599468,0.2822373509407043
112,757590.3482547301,6267130.846992714,0.6648591160774231
113,757651.0016865621,6267133.0662917495,0.4097375571727752
114,757673.5912476396,6267130.932930379,0.5817673206329346
115,757392.5374205081,6267133.022377731,0.4589387774467468
116,757400.3637144988,6267129.921953666,0.7642421722412109
117,757431.279809243,6267132.832043364,0.3131351768970489
118,757456.7605552739,6267130.4564720085,0.4787741601467132
119,757540.1380975535,6267129.097256594,0.4325928092002868
120,757617.8463477558,6267132.439682154,0.3718445003032684
121,757623.9436788027,6267128.456065325,0.3463937044143677
122,757322.063705325,6267126.619810964,0.694756269454956
123,757388.5165184505,6267127.464582284,0.4172442555427551
124,757410.6302643485,6267128.352383493,0.4035427570343017
125,757576.5682395464,6267127.4976414135,0.2896877229213714
126,757319.8994991845,6267127.156318619,0.553349494934082
127,757622.6632972723,6267123.650256663,0.4750093519687652
128,757646.5132466602,6267123.340321096,0.3908413350582123
129,757298.0917436566,6267121.894836833,0.4298891723155975
130,757301.1893788698,6267123.3023611065,0.6010535359382629
131,757324.4115345841,6267120.779969364,0.2646014988422394
132,757336.4263781076,6267122.6681104,0.4049602746963501
133,757358.411685463,6267125.414422014,0.6187832355499268
134,757364.9382910794,6267121.097155779,0.2695396244525909
135,757406.2526822006,6267120.785355239,0.2900420725345611
136,757469.8675447296,6267121.69802217,0.8253907561302185
137,757532.1488165102,6267120.971286555,0.3940955102443695
138,757664.656824281,6267125.05224875,0.4160480499267578
139,757300.6713756147,6267120.049242901,0.5187056660652161
140,757573.032884317,6267119.698412806,0.7680806517601013
141,757645.1455750233,6267118.299065202,0.2768795192241668
142,757346.7152636175,6267116.615598526,0.7966764569282532
143,757353.1677768296,6267115.875111192,0.3027336001396179
144,757370.6769389575,6267116.209416061,0.2576092779636383
145,757547.3303493964,6267116.001250824,0.6956652402877808
146,757305.5217164534,6267113.303932963,0.7850522398948669
147,757311.2460375611,6267114.636376362,0.7397056221961975
148,757351.4663737387,6267113.063308176,0.7750511765480042
149,757462.2118299371,6267115.265913277,0.5229385495185852
150,757505.213841564,6267117.910525694,0.4946646392345428
151,757680.5549508994,6267113.692351847,0.5135220885276794
152,757678.5507181389,6267116.169578105,0.431395411491394
153,757320.6678704089,6267114.461402862,0.3275268971920013
154,757359.290084309,6267115.535119928,0.2653828263282776
155,757401.3266906803,6267113.398927419,0.2666639387607574
156,757606.4643172091,6267115.544420869,0.3400385975837707
157,757640.5885264939,6267112.720959752,0.6276260018348694
158,757652.8626552885,6267114.067565917,0.298348605632782
159,757663.3158934846,6267111.544702913,0.4995355606079101
160,757691.0036577946,6267113.0345070055,0.2936123013496399
161,757293.4316325849,6267109.477808147,0.3398453891277313
162,757310.4313575199,6267110.30580374,0.6042121648788452
163,757316.3190875119,6267113.001596451,0.3769636452198028
164,757354.3391156027,6267109.861334279,0.4928295910358429
165,757535.8781343955,6267110.007823705,0.6353264451026917
166,757569.1772308734,6267108.486088172,0.4902802109718323
167,757288.8360709049,6267106.241448466,0.7059741020202637
168,757359.9835623589,6267105.989135015,0.7201363444328308
169,757405.1800699208,6267107.114120722,0.6613298654556274
170,757473.5620895503,6267105.946656435,0.3550471365451813
171,757543.8564700681,6267107.315416876,0.7286202907562256
172,757592.033776409,6267105.799201398,0.257352203130722
173,757298.5664722612,6267103.554822772,0.3021957576274872
174,757303.6549165761,6267103.475439221,0.4012710452079773
175,757353.9245951837,6267103.310272961,0.381218284368515
176,757473.815393812,6267103.309763044,0.3516305983066559
177,757574.0437999147,6267104.550850474,0.793278157711029
178,757589.5640581017,6267107.238595306,0.2958726286888122
179,757692.8370461529,6267103.484537273,0.4905764460563659
180,757277.7183303898,6267100.796225338,0.2632151842117309
181,757434.8266703795,6267102.862629375,0.5288222432136536
182,757524.2074821806,6267100.941100388,0.264807254076004
183,757287.4909030562,6267102.689588114,0.2501065135002136
184,757290.9014256413,6267099.651928609,0.7050729990005493
185,757613.8862991994,6267101.705964475,0.2827638983726501
186,757652.6176123274,6267100.628496777,0.4737517237663269
187,757697.9148859397,6267098.323180583,0.3112084865570068
188,757299.2200261322,6267097.903752088,0.3911673128604889
189,757331.6357142262,6267100.487236808,0.5020698308944702
190,757353.1856883233,6267097.535576492,0.2712675333023071
191,757377.870310588,6267099.017619439,0.3573274612426758
192,757571.1820909488,6267097.88704331,0.7276913523674011
193,757640.825739569,6267096.0701405695,0.3020622730255127
194,757655.9762415579,6267098.546276658,0.2587276101112366
195,757373.0559315631,6267093.482153676,0.6282899379730225
196,757386.3979027336,6267093.371025591,0.3875291645526886
197,757400.3254471034,6267093.2207532665,0.7429890632629395
198,757433.7306353808,6267098.051684585,0.3864484131336212
199,757469.7375903195,6267098.053836,0.2538922429084778
200,757567.6466221279,6267093.689290254,0.5355299711227417
201,757266.2616581385,6267092.045294612,0.3683876097202301
202,757281.6334905872,6267095.508152517,0.4620009064674377
203,757362.5745275939,6267090.954942008,0.7697098255157471
204,757565.8796003563,6267092.124361365,0.2698604464530945
205,757373.4805742567,6267088.317443996,0.2626766860485077
206,757458.2468850082,6267088.407626419,0.2699137926101684
207,757563.4473025313,6267088.1976198815,0.7430833578109741
208,757607.8813141467,6267089.561026159,0.7856470346450806
209,757665.0134193908,6267088.789755422,0.8178069591522217
210,757285.3441162215,6267087.457252825,0.7186235189437866
211,757603.56136965,6267087.743388473,0.4592879712581634
212,757632.8957083412,6267085.843165576,0.3797588646411896
213,757263.3103175882,6267087.810318389,0.3677369356155395
214,757404.9672667495,6267085.063576265,0.7389664053916931
215,757455.1354295677,6267085.081538527,0.3185851275920868
216,757479.4452515453,6267083.951645316,0.8261881470680237
217,757653.3754379544,6267083.470247167,0.3570044934749603
218,757268.0864345083,6267083.010917307,0.3435776233673095
219,757326.9882886028,6267081.277103394,0.3542312383651733
220,757365.58871963,6267082.57027346,0.6027584671974182
221,757378.9380396074,6267080.839524536,0.3029208481311798
222,757439.6317656037,6267080.977576839,0.5710473656654358
223,757659.8304019632,6267082.685034563,0.3345064520835876
224,757698.0951715177,6267083.221778541,0.2769020497798919
225,757268.6304524457,6267078.429845541,0.2976504564285278
226,757307.976862941,6267079.756979822,0.7507214546203613
227,757319.5188087748,6267078.4130649995,0.5571558475494385
228,757396.6030394733,6267078.38189091,0.4293938875198364
229,757402.0650641774,6267080.368298401,0.783294677734375
230,757435.5218744939,6267081.673909246,0.2549663186073303
231,757479.857900791,6267078.232152661,0.632795512676239
232,757670.6812796649,6267078.1370796375,0.5253899693489075
233,757681.6815919144,6267079.512389344,0.5988852381706238
234,757455.9353611162,6267080.210125751,0.4404019117355346
235,757470.5609165349,6267076.542233196,0.7678462862968445
236,757489.0705241915,6267075.858682474,0.4977188408374786
237,757511.6211340493,6267075.882377296,0.3404329419136047
238,757548.4639489194,6267079.068451195,0.3054084479808807
239,757645.1074989447,6267075.701089362,0.3041431903839111
240,757263.8069314767,6267074.68451422,0.3735257387161255
241,757266.0139550371,6267073.500449329,0.4401721954345703
242,757522.1483824318,6267073.37077853,0.380567193031311
243,757595.7916430418,6267072.63465014,0.3830917775630951
244,757635.8687063347,6267075.209187348,0.5124075412750244
245,757670.9708287856,6267074.444286495,0.3437193930149078
246,757292.9727785183,6267072.461933264,0.3607174158096313
247,757346.5997679754,6267070.073847276,0.5986877679824829
248,757393.111641324,6267070.936976342,0.3653972148895263
249,757409.4892300778,6267072.127820287,0.4711279273033142
250,757418.0982603794,6267075.40042131,0.3383830189704895
251,757478.5270073682,6267071.036084544,0.6160990595817566
252,757528.6083681476,6267070.879838604,0.6183650493621826
253,757260.159054537,6267069.024368904,0.4580787718296051
254,757273.0919561451,6267071.04040113,0.3069486618041992
255,757472.1235953933,6267072.602527595,0.2520707249641418
256,757633.0366353332,6267069.981564254,0.6814482808113098
257,757644.8124471968,6267073.062403068,0.3435061275959015
258,757661.4384350842,6267068.400283425,0.6254740953445435
259,757267.355015046,6267070.471060394,0.4553326964378357
260,757266.1216666466,6267065.947389871,0.4115053713321686
261,757373.2555564782,6267067.341850467,0.632677435874939
262,757493.5477651013,6267065.968625515,0.2605814337730407
263,757503.1060685263,6267067.375602216,0.5165366530418396
264,757527.2452396816,6267067.822184532,0.265704870223999
265,757579.0915925392,6267070.472211051,0.2756820917129516
266,757618.5187685965,6267065.9827509215,0.6603734493255615
267,757627.2902324493,6267070.341237222,0.6655125021934509
268,757640.0657954314,6267068.082429159,0.4933809638023376
269,757498.0592394043,6267063.41435679,0.4660279750823974
270,757588.2868058151,6267064.62765035,0.3385485112667084
271,757624.7104303968,6267063.18230797,0.6182608008384705
272,757683.4709286047,6267063.537095754,0.2825278043746948
273,757698.0461694535,6267065.009025687,0.501567006111145
274,757311.2689027851,6267063.32468149,0.3498710691928863
275,757579.7950833797,6267062.124171292,0.6417322158813477
276,757708.471496534,6267061.587863076,0.5233972668647766
277,757379.319642538,6267059.826618762,0.7262049317359924
278,757386.2868500795,6267060.3274034215,0.6735520362854004
279,757661.4734262889,6267062.872309505,0.2518559098243713
280,757667.6968651147,6267058.3118295,0.535702645778656
281,757706.9380305747,6267059.240148918,0.7127557992935181
282,757498.5251223957,6267059.181097119,0.2683070003986358
