                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4464,                 6.2426,                 1.9168,                0.38666,                    0.4,                0.36918,                0.19275,                 1.0847,                 33.659,                0.58035,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.0032,                 3.5305,                 1.6058,                 0.3844,                    0.3,                0.32204,                0.14667,                  1.135,                 5.3709,                0.55047,             0.00041584,             0.00041584,             0.00041584
                      3,                 2.6203,                 2.4907,                 1.4546,                0.64283,                0.63054,                0.65181,                 0.2452,                 1.2898,                 11.755,                0.61522,             0.00062733,             0.00062733,             0.00062733
                      4,                 2.5308,                 2.4254,                 1.3497,                0.54545,                    0.3,                 0.3995,                 0.1947,                 1.1833,                 39.953,                0.58206,             0.00083446,             0.00083446,             0.00083446
                      5,                 2.3272,                 2.2546,                 1.2848,                0.14003,                   0.55,                0.14288,                0.06453,                 1.2558,                 144.56,                0.68214,              0.0010372,              0.0010372,              0.0010372
                      6,                 2.3245,                 2.2496,                 1.2978,                0.01314,                    0.6,                0.01071,                0.00382,                 1.4275,                    inf,                0.80858,              0.0012357,              0.0012357,              0.0012357
                      7,                 2.2038,                 1.9714,                 1.2875,                0.00993,                    0.4,                0.00721,                0.00252,                 1.3473,                    inf,                0.66762,              0.0014297,              0.0014297,              0.0014297
                      8,                 2.4747,                 2.2934,                  1.326,                0.07458,                   0.55,                0.06111,                 0.0291,                 1.0708,                  193.5,                0.56905,              0.0016194,              0.0016194,              0.0016194
                      9,                  2.436,                 2.1781,                 1.3161,                0.02352,                    0.1,                0.01125,                0.00492,                 1.5354,                 73.816,                0.79579,              0.0018048,              0.0018048,              0.0018048
                     10,                 2.5232,                 2.1226,                 1.3618,                 0.0058,                    0.4,                 0.0042,                0.00114,                 1.7006,                 514.67,                0.89928,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.5925,                  2.394,                 1.3695,                0.00455,                    0.9,                0.00454,                0.00138,                 1.4187,                 1667.1,                0.76877,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.3236,                 2.3409,                  1.264,                0.00279,                    0.6,                 0.0029,                0.00124,                 1.2537,                    inf,                 0.6666,               0.001802,               0.001802,               0.001802
                     13,                  2.446,                 2.3674,                 1.3148,                0.00734,                   0.45,                0.00599,                0.00227,                 1.3096,                 1181.6,                0.65978,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.3028,                 2.1207,                 1.2989,                0.05852,                    0.4,                0.03003,                0.01151,                 1.3577,                    nan,                0.78548,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.3784,                 2.1863,                 1.3346,                0.05347,                   0.35,                0.02303,                0.00572,                 1.5614,                    nan,                 0.7678,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.2852,                 2.0831,                 1.2607,                0.03191,                    0.2,                0.01124,                 0.0048,                 1.3895,                 1728.6,                0.64085,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.1261,                 2.2189,                 1.2354,                0.03849,                    0.2,                0.01343,                0.00482,                 1.4279,                 479.42,                0.67805,               0.001703,               0.001703,               0.001703
                     18,                 2.1436,                 1.9707,                 1.2153,                0.45644,                0.33658,                0.22608,                0.09725,                  1.197,                 5.3994,                0.60993,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.1747,                 1.9373,                  1.268,                0.75533,                    0.2,                 0.2235,                0.06205,                 1.3803,                 4.8513,                0.67601,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.2231,                  2.023,                 1.2634,                0.04245,                   0.25,                0.02862,                0.01008,                 1.4268,                 63.777,                0.69493,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.3277,                 2.1206,                  1.266,                0.23406,                   0.45,                0.16628,                0.06748,                  1.289,                 26.625,                0.64686,              0.0016238,              0.0016238,              0.0016238
                     22,                  2.231,                 2.1481,                 1.2711,                0.55654,                0.43978,                0.33148,                0.16243,                 1.2398,                 8.4358,                0.62076,               0.001604,               0.001604,               0.001604
                     23,                 2.2543,                 2.3201,                 1.2574,                0.41409,                   0.65,                0.36942,                0.15816,                 1.2954,                 3.7297,                0.63241,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.2734,                 2.1734,                 1.2746,                0.64138,                   0.45,                0.43688,                0.16003,                  1.396,                 2.1022,                0.68172,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.2478,                 1.9995,                 1.2578,                0.72725,                    0.4,                0.50814,                0.19123,                 1.3891,                  1.635,                0.66882,              0.0015446,              0.0015446,              0.0015446
                     26,                  2.102,                 2.0874,                 1.2327,                  0.703,                   0.35,                0.36931,                0.14361,                  1.324,                 1.6651,                0.63096,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.2264,                 2.1402,                 1.2482,                 0.8858,                    0.4,                0.39639,                0.14911,                 1.2702,                 1.4961,                0.60916,               0.001505,               0.001505,               0.001505
                     28,                 2.1929,                 2.1298,                 1.2496,                0.78886,                   0.45,                0.51999,                0.15499,                 1.3339,                 6.3296,                  0.653,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.9873,                 1.7918,                 1.1541,                0.63373,                    0.5,                0.49941,                 0.2423,                 1.2258,                  9.702,                0.62061,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.3256,                  2.203,                 1.2464,                0.51985,                   0.65,                0.46439,                0.24195,                 1.2489,                 7.0363,                0.63491,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.1529,                 2.1126,                 1.2001,                0.64524,                    0.5,                0.53884,                0.18076,                 1.2853,                 3.7782,                 0.6251,              0.0014258,              0.0014258,              0.0014258
                     32,                  2.119,                 2.0071,                 1.1948,                0.60255,                    0.4,                0.37937,                0.19009,                 1.1985,                 3.3566,                 0.5801,               0.001406,               0.001406,               0.001406
                     33,                 2.1916,                 2.0383,                 1.2222,                 0.3942,                0.32611,                 0.2487,                0.14657,                 1.2921,                 2.9392,                0.59466,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.2373,                 2.0742,                 1.2465,                0.57338,                    0.6,                 0.5458,                0.27013,                 1.2132,                 2.3839,                0.59278,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.2016,                 2.0898,                 1.2375,                0.59549,                    0.5,                 0.5218,                0.19981,                 1.2886,                 2.1442,                 0.6599,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.1821,                 2.0389,                 1.2161,                0.53734,                    0.5,                0.39333,                0.11141,                   1.51,                 2.3948,                0.72028,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.1142,                 1.9504,                  1.216,                0.49331,                    0.5,                0.37757,                0.13297,                 1.4569,                 3.4476,                0.69434,               0.001307,               0.001307,               0.001307
                     38,                 2.1416,                 1.9035,                  1.211,                0.75938,                    0.5,                0.61126,                0.19943,                 1.3815,                 3.8244,                0.67182,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.1783,                 2.0427,                 1.2255,                0.71459,                    0.6,                0.59014,                0.27333,                 1.0975,                 3.0472,                0.54736,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.0548,                 1.9204,                 1.2075,                0.60485,                0.61273,                0.56676,                0.28402,                 1.1204,                 3.1164,                0.56446,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.9841,                 1.9422,                 1.1471,                0.68195,                0.64356,                0.56715,                 0.1927,                 1.2563,                 3.0696,                0.60863,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0379,                 2.1203,                 1.1918,                0.45043,                    0.5,                0.45296,                0.10495,                 1.4555,                  3.402,                0.68351,               0.001208,               0.001208,               0.001208
                     43,                  2.019,                 1.8519,                 1.2004,                0.68476,                   0.55,                0.52203,                0.11144,                  1.481,                 2.8325,                0.69862,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.0657,                 1.9517,                 1.2075,                 0.6553,                0.57102,                 0.6298,                0.17306,                 1.3315,                 2.1611,                0.63258,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.0313,                 1.9014,                 1.1773,                0.62541,                    0.6,                0.56081,                 0.1964,                 1.2396,                  2.322,                0.60084,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.1114,                 2.1361,                 1.2049,                0.33958,                0.61733,                0.28884,                0.08437,                 1.3299,                 6.6715,                0.62142,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.0177,                 1.8955,                 1.2032,                0.44474,                   0.65,                0.34537,                0.08978,                 1.3601,                  6.309,                0.64271,               0.001109,               0.001109,               0.001109
                     48,                 2.0436,                 1.9151,                 1.1892,                0.71848,                   0.75,                0.65871,                0.24742,                 1.2586,                 3.1378,                0.61141,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.931,                 1.7587,                  1.143,                 0.7469,                0.73821,                0.68555,                0.32439,                 1.0824,                 3.4489,                0.55343,              0.0010694,              0.0010694,              0.0010694
                     50,                   1.83,                 1.7931,                 1.1049,                0.80824,                    0.6,                0.68095,                0.33643,                 1.0813,                 3.0902,                0.55512,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.9929,                 1.8617,                  1.157,                0.86236,                0.62737,                 0.7048,                 0.2557,                 1.1932,                 2.1938,                0.58862,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.9758,                 1.9015,                 1.1582,                0.75605,                   0.55,                 0.6341,                0.18846,                 1.1852,                 2.3084,                0.60126,                0.00101,                0.00101,                0.00101
                     53,                 1.9481,                 1.9066,                 1.1493,                0.78124,                   0.55,                0.60458,                0.16586,                  1.298,                 2.4876,                0.65089,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.0297,                  1.874,                 1.1485,                 0.8316,                0.74114,                0.71372,                0.18321,                 1.3592,                 2.5253,                0.66932,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.8899,                 1.6066,                 1.1424,                0.82655,                   0.55,                0.60545,                0.21961,                  1.381,                 2.0268,                 0.6839,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.9301,                 1.7107,                  1.181,                0.91473,                   0.65,                0.71205,                0.26594,                 1.2824,                 2.0703,                 0.6518,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.9693,                 1.8818,                 1.1423,                0.77401,                    0.5,                0.58041,                0.26488,                 1.2446,                 2.0365,                0.62245,               0.000911,               0.000911,               0.000911
                     58,                 2.0726,                 1.9324,                 1.2158,                 0.7429,                    0.5,                0.57572,                0.26411,                  1.207,                 2.4808,                0.59091,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.9323,                 1.6459,                 1.1385,                0.76958,                0.66864,                0.70392,                0.27009,                 1.2009,                 2.4786,                 0.5811,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.9711,                 1.9142,                 1.1584,                0.84265,                    0.7,                0.66336,                0.15881,                 1.3675,                 2.3462,                0.64753,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.0455,                 1.8749,                 1.1897,                 0.6349,                   0.65,                0.54748,                0.12488,                 1.4236,                 2.4384,                 0.6813,              0.0008318,              0.0008318,              0.0008318
                     62,                 2.0587,                 1.8648,                 1.1938,                0.67656,                    0.7,                0.69198,                0.16532,                 1.3865,                 2.7956,                0.67116,               0.000812,               0.000812,               0.000812
                     63,                 2.0167,                 1.8188,                 1.1514,                0.81407,                   0.55,                0.66759,                0.19155,                 1.2879,                 3.1832,                0.62132,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.0034,                 1.8427,                 1.1667,                0.73465,                0.55394,                0.67932,                0.19065,                 1.2832,                 3.6161,                0.62208,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.8935,                 1.7575,                 1.1109,                0.74962,                0.59886,                0.66231,                0.16973,                 1.3188,                 3.5741,                0.63462,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.959,                 1.8038,                 1.1613,                0.63799,                    0.7,                0.67426,                0.16861,                  1.366,                 3.3614,                0.65439,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.9665,                   1.82,                 1.1532,                0.61452,                0.63811,                 0.6707,                0.21396,                 1.3435,                 3.1329,                0.63912,               0.000713,               0.000713,               0.000713
