                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6829,                 6.8961,                 1.7091,                0.34971,                0.47059,                0.32117,                0.18921,                 0.9332,                 27.749,                0.70797,                 0.0002,                 0.0002,                 0.0002
                      2,                  2.359,                 3.1706,                 1.4543,                0.25611,                0.11765,                0.08093,                  0.042,                0.99091,                 8.5816,                0.71315,             0.00041584,             0.00041584,             0.00041584
                      3,                 1.9558,                 2.2646,                 1.2915,                0.03148,                0.52941,                 0.0355,                0.01699,                 1.0439,                 266.45,                0.78056,             0.00062733,             0.00062733,             0.00062733
                      4,                 1.9602,                 1.9561,                 1.3135,                0.01654,                0.47059,                0.01274,                0.00699,                 1.1059,                 376.81,                0.77729,             0.00083446,             0.00083446,             0.00083446
                      5,                 1.9739,                 1.7765,                 1.2823,                0.03178,                0.64706,                0.04898,                0.02743,                0.95469,                 130.49,                0.73045,              0.0010372,              0.0010372,              0.0010372
                      6,                 1.8692,                 1.6996,                  1.303,                0.00321,                0.35294,                0.00244,                0.00114,                 1.0586,                   2131,                 3.4479,              0.0012357,              0.0012357,              0.0012357
                      7,                 1.8786,                 1.6505,                  1.248,                0.00091,                0.05882,                0.00026,                0.00018,                0.94237,                    inf,                 6.0585,              0.0014297,              0.0014297,              0.0014297
                      8,                 2.0824,                 1.5977,                 1.4269,                0.00063,                0.11765,                0.00024,                  8e-05,                 2.4704,                    inf,                  18.36,              0.0016194,              0.0016194,              0.0016194
                      9,                 2.0415,                 1.6419,                  1.328,                0.00195,                0.47059,                0.00132,                0.00062,                 1.0158,                    inf,                 1.4454,              0.0018048,              0.0018048,              0.0018048
                     10,                 1.9828,                 1.5972,                 1.3503,                0.00278,                0.64706,                 0.0023,                0.00099,                 1.1497,                    inf,                 1.2777,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0097,                 1.7214,                  1.339,                0.72299,                0.35294,                0.31297,                0.15151,                 1.0581,                  1.455,                0.83745,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.9884,                 1.5768,                 1.2598,                0.02803,                0.11765,                0.01132,                0.00298,                  1.741,                 2.6805,                 2.1912,               0.001802,               0.001802,               0.001802
                     13,                 1.8637,                 1.4665,                 1.2533,                0.37876,                0.23529,                0.15154,                0.04847,                 1.5917,                 1.3695,                 1.3068,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.2397,                 1.8072,                 1.5502,                0.37876,                0.23529,                0.15154,                0.04847,                  1.865,                 3.4256,                 1.6087,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.9673,                 1.5457,                 1.3403,                0.58929,                0.23529,                 0.2577,                0.15156,                 1.3972,                 3.0667,                 1.1029,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0019,                 1.4963,                 1.3515,                0.00055,                0.11765,                0.00032,                 0.0001,                 2.3497,                 2.9303,                 2.2124,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7289,                 1.4663,                 1.2179,                0.83359,                0.41176,                  0.487,                0.29149,                0.86147,                0.95897,                0.68109,               0.001703,               0.001703,               0.001703
                     18,                 1.8184,                 1.5064,                 1.2574,                0.66621,                0.52941,                0.52201,                0.27416,                0.87311,                0.91027,                0.64721,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.648,                 1.3507,                 1.1756,                0.57842,                0.58824,                0.47662,                0.21973,                 1.1678,                 1.1177,                0.79352,              0.0016634,              0.0016634,              0.0016634
