                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0711,                 5.9973,                 2.1961,                0.36391,                0.17647,                0.14967,                0.07748,                 1.2212,                  20.53,                0.88442,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.8112,                 3.4737,                 1.9845,                0.90028,                0.11765,                 0.1511,                0.09601,                 1.0622,                 10.807,                0.77519,             0.00041584,             0.00041584,             0.00041584
                      3,                 2.4441,                 2.8871,                 1.7587,                0.37817,                0.41176,                0.30354,                0.15688,                 1.0901,                   24.8,                0.78576,             0.00062733,             0.00062733,             0.00062733
                      4,                 2.2877,                 2.5359,                 1.6321,                0.22992,                0.23529,                0.15913,                0.05132,                 1.3993,                 27.806,                 1.0829,             0.00083446,             0.00083446,             0.00083446
                      5,                 2.3843,                 2.5258,                 1.7064,                    0.4,                0.11765,                0.26932,                0.06959,                  1.244,                 129.75,                0.97427,              0.0010372,              0.0010372,              0.0010372
                      6,                 2.3262,                 2.3668,                 1.6472,                0.09017,                0.23529,                0.08457,                0.03317,                 1.3977,                 17.855,                 1.0924,              0.0012357,              0.0012357,              0.0012357
                      7,                  2.279,                 2.4757,                 1.6618,                0.14801,                0.23529,                  0.071,                0.01892,                 1.7925,                 16.353,                 1.7803,              0.0014297,              0.0014297,              0.0014297
                      8,                 2.1224,                 2.3455,                  1.558,                0.25041,                0.11765,                 0.0597,                0.00729,                 1.9401,                 8.7638,                 1.7655,              0.0016194,              0.0016194,              0.0016194
                      9,                 2.1778,                 2.2334,                 1.5705,                 0.1506,                0.17647,                0.05904,                0.02709,                 1.3337,                 4.0493,                0.98674,              0.0018048,              0.0018048,              0.0018048
                     10,                 2.1718,                 2.4151,                 1.5892,                 0.1506,                0.17647,                0.05904,                0.02709,                      0,                0.75433,                      0,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3124,                  2.346,                 1.6733,                 0.1506,                0.17647,                0.05904,                0.02709,                      0,                 13.797,                      0,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.1161,                 2.3197,                 1.5826,                0.31796,                0.29412,                0.18049,                0.05334,                 1.2729,                 3.3404,                0.92881,               0.001802,               0.001802,               0.001802
                     13,                 2.2997,                 2.2805,                 1.5954,                0.08553,                0.35294,                0.06408,                0.01623,                 1.3625,                  95.77,                   1.07,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.1336,                  2.372,                 1.5864,                0.08553,                0.35294,                0.06408,                0.01623,                 2.2595,                 4.2126,                 1.7523,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.2814,                 2.6123,                 1.6717,                0.27262,                0.29412,                0.22166,                0.09398,                 1.2412,                 1.5593,                0.88698,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.1303,                 2.2791,                  1.586,                0.38192,                0.17647,                0.13408,                0.04074,                 1.0822,                 2.1227,                0.80388,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.1233,                 2.3404,                 1.5553,                 0.0041,                0.52941,                 0.0037,                0.00181,                0.99276,                 2479.4,                0.69226,               0.001703,               0.001703,               0.001703
                     18,                  2.129,                 2.2598,                 1.5201,                0.38062,                0.29412,                0.34659,                0.10567,                 1.2756,                 53.067,                0.95057,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.1683,                 2.2346,                 1.5826,                 0.1261,                0.41176,                0.07195,                0.02918,                 1.2334,                  11.65,                0.87698,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.2864,                 2.4435,                 1.6168,                0.27496,                0.05882,                0.04485,                 0.0177,                 1.1636,                 6.0277,                0.77607,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.0919,                 2.3035,                 1.4789,                0.00283,                0.35294,                0.00298,                0.00119,                 1.2926,                 802.46,                0.86627,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.0672,                 2.2222,                 1.5342,                 0.0053,                0.70588,                0.00496,                0.00232,                 1.0416,                 1103.6,                0.79465,               0.001604,               0.001604,               0.001604
                     23,                 2.0015,                 2.3035,                 1.4958,                0.19065,                0.35294,                0.14953,                0.06293,                 1.0488,                 2.1546,                0.78657,              0.0015842,              0.0015842,              0.0015842
                     24,                  2.113,                 2.2173,                 1.5545,                0.36493,                0.47059,                0.29257,                0.08634,                 1.1665,                  2.576,                0.84661,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.0756,                 2.1346,                 1.5443,                0.36995,                0.47059,                0.25527,                0.09148,                 1.2315,                 1.6979,                0.88331,              0.0015446,              0.0015446,              0.0015446
