                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0715,                 4.3433,                 1.5573,                0.00136,                0.15385,                0.00172,                0.00086,                 1.0528,                 2.5169,                0.52429,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.6695,                 3.4788,                 1.2423,                0.00449,                0.92308,                0.01259,                0.00396,                0.95214,                 2.3672,                0.50977,             0.00041584,             0.00041584,             0.00041584
                      3,                 2.4185,                 2.6725,                 1.1434,                0.00344,                      1,                0.36512,                0.13466,                 1.0562,                 2.0622,                0.53284,             0.00062733,             0.00062733,             0.00062733
                      4,                  2.246,                  2.153,                  1.094,                0.00593,                0.92308,                0.01167,                0.00409,                 1.1922,                 2.0835,                0.61215,             0.00083446,             0.00083446,             0.00083446
                      5,                 2.2681,                 1.9709,                 1.0794,                0.50267,                0.30769,                0.36213,                0.13585,                 1.1935,                  1.726,                 0.6178,              0.0010372,              0.0010372,              0.0010372
                      6,                 2.0474,                 1.8703,                 1.0228,                0.01747,                      1,                0.52624,                 0.1737,                 1.1342,                 1.6622,                0.56799,              0.0012357,              0.0012357,              0.0012357
                      7,                 2.1524,                 1.7811,                 1.0245,                0.49617,                0.60655,                0.57991,                0.19158,                 1.1389,                 1.2628,                0.59551,              0.0014297,              0.0014297,              0.0014297
                      8,                 2.1721,                    1.7,                 1.0944,                0.11143,                0.11718,                0.02585,                0.00424,                 1.9231,                 2.1923,                 1.2533,              0.0016194,              0.0016194,              0.0016194
                      9,                 2.1973,                 1.6241,                 1.0966,                0.53684,                0.44696,                0.57627,                 0.2175,                 1.1924,                 1.1541,                0.59094,              0.0018048,              0.0018048,              0.0018048
                     10,                  2.338,                 1.9042,                 1.1143,                0.53958,                0.36249,                0.44432,                0.14564,                 1.2157,                 1.2252,                0.70513,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0619,                 2.2661,                 1.0083,                0.27965,                0.09213,                0.28341,                 0.0869,                  1.138,                 1.5398,                0.63695,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.1356,                 1.6867,                 1.1029,                 0.6411,                0.46154,                0.44446,                0.19572,                 1.1981,                 1.2836,                0.68169,               0.001802,               0.001802,               0.001802
                     13,                 2.1954,                 1.7015,                 1.1539,                0.56454,                0.46154,                0.37907,                0.06774,                 1.7206,                 1.6583,                 1.0773,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.1194,                 1.6168,                 1.0839,                0.43945,                0.15385,                0.10161,                0.02282,                 1.7694,                 2.2406,                 1.0723,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.817,                 1.5923,                0.96653,                 0.2912,                0.07692,                0.04026,                 0.0075,                 1.6577,                 1.8939,                0.74522,              0.0017426,              0.0017426,              0.0017426
                     16,                    1.9,                 1.5181,                 1.0577,                0.13261,                0.07692,                 0.0319,                0.00641,                 1.7054,                 1.7529,                 0.7239,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.0448,                  1.625,                 1.0094,                0.03247,                0.46154,                 0.0402,                0.00784,                 1.5787,                 1.4689,                0.64742,               0.001703,               0.001703,               0.001703
                     18,                 1.9302,                  1.504,                0.95173,                0.13094,                0.20938,                0.08999,                0.02757,                 1.5832,                 1.3009,                0.65073,              0.0016832,              0.0016832,              0.0016832
