                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2985,                 4.4771,                 1.6762,                0.00074,                   0.05,                0.00042,                  4e-05,                 0.9664,                 3.2405,                 0.5383,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.8601,                 3.6301,                 1.3325,                 0.0072,                   0.75,                0.00677,                0.00327,                0.85042,                 3.0777,                0.49427,             0.00041584,             0.00041584,             0.00041584
                      3,                 2.4481,                 2.5734,                 1.1601,                0.00495,                   0.95,                0.02503,                0.01029,                0.94462,                 2.8508,                0.50473,             0.00062733,             0.00062733,             0.00062733
                      4,                 2.3277,                 2.0018,                 1.1068,                0.00278,                    0.8,                0.15653,                0.10489,                 1.2435,                 2.4135,                0.65176,             0.00083446,             0.00083446,             0.00083446
                      5,                 2.2093,                  1.945,                 1.1242,                0.00397,                   0.85,                0.22878,                0.09615,                 1.1176,                 2.1676,                0.58958,              0.0010372,              0.0010372,              0.0010372
                      6,                 2.0365,                 1.8011,                  1.049,                0.00316,                   0.95,                0.21303,                0.10489,                 1.0477,                 2.0309,                  0.561,              0.0012357,              0.0012357,              0.0012357
                      7,                 2.2981,                 1.9887,                 1.0908,                0.40691,                0.34339,                0.32932,                0.12572,                 1.0802,                 2.4442,                0.60932,              0.0014297,              0.0014297,              0.0014297
                      8,                 2.3029,                 1.8258,                 1.1039,                0.37151,                    0.2,                0.24786,                0.11452,                  1.286,                 1.8938,                0.68584,              0.0016194,              0.0016194,              0.0016194
                      9,                 2.2775,                  1.846,                  1.134,                 0.4083,                    0.3,                0.33369,                0.17564,                 1.1643,                 1.6925,                0.62251,              0.0018048,              0.0018048,              0.0018048
                     10,                 2.2219,                 1.7765,                   1.09,                0.43767,                   0.35,                0.35831,                0.18022,                 1.0815,                 1.4229,                0.56843,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2014,                 1.8194,                 1.1247,                0.44994,                    0.5,                 0.3954,                0.18736,                 1.0225,                 2.2774,                0.54548,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.2707,                  1.705,                 1.0616,                0.36324,                   0.45,                0.30792,                0.12137,                  1.093,                 1.4252,                0.57134,               0.001802,               0.001802,               0.001802
                     13,                 2.2094,                 1.8212,                 1.0483,                0.25419,                   0.25,                0.17575,                0.06367,                 1.2529,                 1.6052,                0.61403,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.1218,                 1.8369,                 1.0937,                0.44427,                   0.35,                0.29635,                0.15309,                 1.1424,                 1.5092,                 0.5844,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0729,                 1.6827,                 1.0737,                0.49547,                0.24593,                0.25319,                0.14597,                  1.071,                 2.0114,                0.57368,              0.0017426,              0.0017426,              0.0017426
                     16,                  2.213,                 1.7835,                 1.0948,                      1,                 0.1962,                 0.2766,                0.14226,                 1.1503,                 1.6078,                0.57986,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.0724,                 1.6128,                 1.0615,                0.86615,                   0.25,                0.35865,                0.15956,                 1.1003,                 1.4006,                0.56738,               0.001703,               0.001703,               0.001703
                     18,                 1.9917,                 1.5116,                  1.057,                0.88003,                   0.25,                0.32522,                0.15252,                 1.1637,                 1.3519,                0.55868,              0.0016832,              0.0016832,              0.0016832
